Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.016908014,-11.0523080825806,18.7686061859131,-10.8827934265137,24.3484965629983
0.021256222,7.63581556384452E-05,-0.00328340078704059,-0.000229074474191293,0.00329226767001064
0.023288222,7.63581556384452E-05,-0.00328340078704059,-0.000229074474191293,0.00329226767001064
0.025304222,0.00129808869678527,-0.000839939690195024,0.000381790770916268,0.00159257563105915
0.027314888,-0.00114537228364497,0.000381790770916268,-0.000839939690195024,0.00147076189237546
0.029322888,0.00251981918700039,-0.00450513139367104,-0.000839939690195024,0.00522983711912528
0.031329288,0.000687223393470049,-0.000839939690195024,0.000992655986919999,0.00147076190597442
0.033334621,0.000687223393470049,-0.00328340078704059,0.00221438659355044,0.0040195154815683
0.035339192,0.00190895388368517,-0.00328340078704059,0.000381790770916268,0.00381714420098748
0.037343192,7.63581556384452E-05,-0.00328340078704059,0.000381790770916268,0.00330640522154017
0.039346636,-0.00114537228364497,-0.00145080499351025,-0.00145080499351025,0.00234979742244531
0.041347136,-0.00114537228364497,-0.00206167018041015,-0.000839939690195024,0.00250356950854164
0.043350045,0.00129808869678527,-0.00328340078704059,-0.000229074474191293,0.00353811109319457
0.045352628,0.00190895388368517,-0.00145080499351025,-0.00145080499351025,0.00280245877550861
0.047355012,-0.000534507096745074,-0.00206167018041015,0.00160352129023522,0.00266598242633009
0.049357226,-0.000534507096745074,-0.00145080499351025,0.00160352129023522,0.00222751284932382
0.051359292,0.000687223393470049,-0.00389426597394049,0.000992655986919999,0.0040771251362561
0.053361229,7.63581556384452E-05,-0.000839939690195024,0.000992655986919999,0.00130257251601035
0.055362993,0.00190895388368517,0.000381790770916268,-0.00145080499351025,0.00242790120309452
0.057364659,0.000687223393470049,0.00343611696735024,-0.000839939690195024,0.00360342538274482
0.059366237,-0.000534507096745074,0.000381790770916268,-0.000839939690195024,0.00106628359848241
0.061366437,0.000687223393470049,0.00160352129023522,-0.000839939690195024,0.00193624771244152
0.063367865,0.00129808869678527,-0.000839939690195024,0.00282525178045034,0.00322064909153798
0.065369228,0.00190895388368517,0.000992655986919999,0.00160352129023522,0.00268342157825461
0.067370532,-0.000534507096745074,0.00160352129023522,0.00160352129023522,0.00232986241931709
0.069371782,0.000687223393470049,0.00160352129023522,0.00160352129023522,0.00236956473830274
0.071372982,-0.0017562375869602,0.00343611696735024,-0.000839939690195024,0.00394927448505785
0.073374135,7.63581556384452E-05,0.00160352129023522,0.000381790770916268,0.0016501137199984
0.075375246,-0.00114537228364497,0.00282525178045034,0.00160352129023522,0.00344459080578776
0.077376317,0.000687223393470049,-0.000229074474191293,0.000992655986919999,0.00122886818480528
0.079376903,-0.00114537228364497,-0.000839939690195024,0.000381790770916268,0.00147076189237546
0.081377036,0.000687223393470049,0.00160352129023522,0.000381790770916268,0.00178586693612009
0.083377102,0.00251981918700039,0.00343611696735024,0.00282525178045034,0.00511257627536503
0.085376968,-0.0017562375869602,0.00160352129023522,0.000381790770916268,0.00240861270918474
0.087376834,-0.000534507096745074,0.00404698215425015,-0.000229074474191293,0.00408854956042066
0.0893767,0.000687223393470049,0.000992655986919999,-0.000839939690195024,0.00147076190597442
0.091376566,-0.0017562375869602,-0.000229074474191293,-0.00145080499351025,0.00228947170888222
0.093375799,-0.000534507096745074,0.00404698215425015,-0.000229074474191293,0.00408854956042066
0.095375665,7.63581556384452E-05,0.00465784734115005,-0.00145080499351025,0.00487916053748853
0.097375531,0.000687223393470049,0.00282525178045034,-0.000229074474191293,0.00291664168697431
0.099375431,7.63581556384452E-05,-0.000839939690195024,-0.00145080499351025,0.00167814313462579
0.101375264,-0.000534507096745074,0.00160352129023522,0.00343611696735024,0.00382934435354418
0.103375064,0.000687223393470049,0.00160352129023522,0.000992655986919999,0.0020072175839052
0.105374897,0.00251981918700039,-0.000229074474191293,-0.00145080499351025,0.00291664172964312
0.10737473,0.000687223393470049,0.000992655986919999,-0.00145080499351025,0.00188745252393136
0.109374563,-0.000534507096745074,0.000992655986919999,-0.000839939690195024,0.0014059027092953
0.111374396,0.000687223393470049,-0.00267253536731005,0.000381790770916268,0.00278576479172459
0.113374229,0.000687223393470049,-0.00267253536731005,-0.000229074474191293,0.00276897027733805
0.115374295,0.000687223393470049,-0.000839939690195024,-0.000229074474191293,0.00110916625914397
0.117374128,7.63581556384452E-05,-0.00389426597394049,0.000381790770916268,0.00391368141734608
0.119373961,7.63581556384452E-05,-0.00511599658057094,-0.00328340078704059,0.00607947138398437
0.121373761,0.000687223393470049,-0.00572686176747084,-0.00145080499351025,0.00594760933698961
0.123373594,-0.000534507096745074,-0.00389426597394049,-0.000839939690195024,0.00401951539310729
0.125373427,-0.00114537228364497,-0.00817032251507044,-0.000229074474191293,0.00825339462179866
0.12737326,-0.000534507096745074,-0.00450513139367104,-0.000229074474191293,0.00454250831869763
0.129373093,0.00129808869678527,-0.00817032251507044,-0.000229074474191293,0.00827596999630343
0.131372859,-0.00114537228364497,-0.00511599658057094,-0.00145080499351025,0.00543968140700812
0.133372692,0.000687223393470049,-0.00572686176747084,-0.000839939690195024,0.00582878378218103
0.135372525,7.63581556384452E-05,-0.00389426597394049,0.000992655986919999,0.0040195153877167
0.137372358,-0.000534507096745074,-0.000839939690195024,-0.000229074474191293,0.00102160248353348
0.139372624,7.63581556384452E-05,-0.00389426597394049,-0.00145080499351025,0.00415643755792355
0.141372457,-0.000534507096745074,-0.000839939690195024,-0.000229074474191293,0.00102160248353348
